Attributes: 2 , Index: 0 FID: 0.365269 
Attributes: 2 , Index: 1 FID: 0.349883 
Attributes: 2 , Index: 2 FID: 0.333248 
Attributes: 2 , Index: 3 FID: 0.321133 
Attributes: 2 , Index: 4 FID: 0.317353 
Attributes: 2 , Index: 5 FID: 0.293706 
Attributes: 2 , Index: 6 FID: 0.283495 
Attributes: 2 , Index: 7 FID: 0.273456 
Attributes: 2 , Index: 8 FID: 0.253078 
Attributes: 2 , Index: 9 FID: 0.252688 
Attributes: 2 , Index: 10 FID: 0.242073 
Attributes: 2 , Index: 11 FID: 0.222123 
Attributes: 2 , Index: 12 FID: 0.208845 
Attributes: 2 , Index: 13 FID: 0.213095 
Attributes: 2 , Index: 14 FID: 0.201753 
Attributes: 2 , Index: 15 FID: 0.186862 
Attributes: 2 , Index: 16 FID: 0.179644 
Attributes: 2 , Index: 17 FID: 0.169414 
Attributes: 2 , Index: 18 FID: 0.159816 
Attributes: 2 , Index: 19 FID: 0.155801 
Attributes: 2 , Index: 20 FID: 0.144192 
Attributes: 2 , Index: 21 FID: 0.137938 
Attributes: 2 , Index: 22 FID: 0.134580 
Attributes: 2 , Index: 23 FID: 0.117191 
Attributes: 2 , Index: 24 FID: 0.110891 
Attributes: 2 , Index: 25 FID: 0.110829 
Attributes: 2 , Index: 26 FID: 0.107132 
Attributes: 2 , Index: 27 FID: 0.099001 
Attributes: 2 , Index: 28 FID: 0.098592 
Attributes: 2 , Index: 29 FID: 0.080792 
Attributes: 2 , Index: 30 FID: 0.076109 
Attributes: 2 , Index: 31 FID: 0.073843 
Attributes: 2 , Index: 32 FID: 0.069791 
Attributes: 2 , Index: 33 FID: 0.062873 
Attributes: 2 , Index: 34 FID: 0.062643 
Attributes: 2 , Index: 35 FID: 0.060342 
Attributes: 2 , Index: 36 FID: 0.051807 
Attributes: 2 , Index: 37 FID: 0.053013 
Attributes: 2 , Index: 38 FID: 0.044834 
Attributes: 2 , Index: 39 FID: 0.042066 
Attributes: 2 , Index: 40 FID: 0.043249 
Attributes: 2 , Index: 41 FID: 0.037011 
Attributes: 2 , Index: 42 FID: 0.040458 
Attributes: 2 , Index: 43 FID: 0.038083 
Attributes: 2 , Index: 44 FID: 0.030406 
Attributes: 2 , Index: 45 FID: 0.030454 
Attributes: 2 , Index: 46 FID: 0.034710 
Attributes: 2 , Index: 47 FID: 0.035654 
Attributes: 2 , Index: 48 FID: 0.032268 
Attributes: 2 , Index: 49 FID: 0.032413 
