classs index l2 l1 IS Specificity wd wds 
4 0 0.9867117106835208 0.9866666666666667 0.9854545454545455 0.985 0.9866666666666667 0.9854545454545455 
4 1 0.9735159646011632 0.9733333333333333 0.9709090909090908 0.97 0.9733333333333333 0.9709090909090908 
4 2 0.9604165762834376 0.96 0.9563636363636363 0.955 0.96 0.9563636363636363 
4 3 0.9474175425861611 0.9466666666666667 0.9418181818181818 0.94 0.9466666666666667 0.9418181818181818 
4 4 0.9345230512584124 0.9333333333333332 0.9272727272727272 0.9249999999999999 0.9333333333333332 0.9272727272727272 
4 5 0.921737489744233 0.9199999999999999 0.9127272727272726 0.9099999999999999 0.9199999999999999 0.9127272727272726 
4 6 0.909065454189081 0.9066666666666667 0.8981818181818183 0.895 0.9066666666666667 0.8981818181818183 
4 7 0.8965117586140928 0.8933333333333334 0.8836363636363637 0.88 0.8933333333333334 0.8836363636363637 
4 8 0.884081444212014 0.88 0.8690909090909091 0.865 0.8799999999999999 0.869090909090909 
4 9 0.8717797887081348 0.8666666666666667 0.8545454545454546 0.85 0.8666666666666666 0.8545454545454544 
4 10 0.8596123157175759 0.8533333333333334 0.84 0.835 0.8533333333333334 0.84 
4 11 0.8475848040166838 0.84 0.8254545454545454 0.8200000000000001 0.84 0.8254545454545454 
4 12 0.8357032966310473 0.8266666666666667 0.8109090909090909 0.8049999999999999 0.8266666666666667 0.8109090909090909 
4 13 0.82397410962562 0.8133333333333334 0.7963636363636364 0.79 0.8133333333333334 0.7963636363636364 
4 14 0.8124038404635961 0.7999999999999999 0.7818181818181817 0.775 0.8000000000000002 0.781818181818182 
4 15 0.8009993757800314 0.7866666666666666 0.7672727272727272 0.76 0.7866666666666667 0.7672727272727274 
4 16 0.7897678983937835 0.7733333333333333 0.7527272727272727 0.745 0.7733333333333333 0.7527272727272727 
4 17 0.7787168933572715 0.7599999999999999 0.7381818181818182 0.73 0.7600000000000001 0.7381818181818183 
4 18 0.7678541528180988 0.7466666666666667 0.7236363636363637 0.7150000000000001 0.7466666666666667 0.7236363636363637 
4 19 0.7571877794400366 0.7333333333333334 0.7090909090909091 0.7000000000000001 0.7333333333333334 0.7090909090909091 
4 20 0.7467261881037789 0.7200000000000001 0.6945454545454546 0.685 0.7200000000000001 0.6945454545454546 
4 21 0.7364781055808789 0.7066666666666667 0.68 0.67 0.7066666666666667 0.68 
4 22 0.7264525678482618 0.6933333333333334 0.6654545454545455 0.655 0.6933333333333334 0.6654545454545455 
4 23 0.7166589146867568 0.68 0.6509090909090909 0.64 0.68 0.6509090909090909 
4 24 0.7071067811865475 0.6666666666666666 0.6363636363636364 0.625 0.6666666666666666 0.6363636363636364 
4 25 0.7071067811865475 0.6666666666666666 0.6363636363636364 0.625 0.6666666666666666 0.6363636363636364 
4 26 0.6930127463955239 0.6533333333333333 0.623030303030303 0.6116666666666667 0.6533333333333333 0.623030303030303 
4 27 0.6790189000805991 0.64 0.6096969696969697 0.5983333333333334 0.64 0.6096969696969697 
4 28 0.6651315659326356 0.6266666666666666 0.5963636363636363 0.585 0.6266666666666666 0.5963636363636363 
4 29 0.6513575566972925 0.6133333333333333 0.583030303030303 0.5716666666666667 0.6133333333333333 0.583030303030303 
4 30 0.6377042156569664 0.6 0.5696969696969697 0.5583333333333333 0.6 0.5696969696969697 
4 31 0.6241794613730894 0.5866666666666666 0.5563636363636363 0.5449999999999999 0.5866666666666666 0.5563636363636363 
4 32 0.6107918357891392 0.5733333333333334 0.5430303030303031 0.5316666666666667 0.5733333333333334 0.5430303030303031 
4 33 0.5975505557412417 0.56 0.5296969696969697 0.5183333333333333 0.56 0.5296969696969697 
4 34 0.5844655678480983 0.5466666666666667 0.5163636363636364 0.505 0.5466666666666667 0.5163636363636364 
4 35 0.5715476066494083 0.5333333333333333 0.503030303030303 0.4916666666666667 0.5333333333333333 0.503030303030303 
4 36 0.5588082557252234 0.52 0.4896969696969697 0.47833333333333333 0.52 0.4896969696969697 
4 37 0.5462600113499065 0.5066666666666667 0.4763636363636364 0.465 0.5066666666666667 0.4763636363636364 
4 38 0.5339163480046913 0.49333333333333335 0.46303030303030307 0.45166666666666666 0.49333333333333335 0.46303030303030307 
4 39 0.5217917847826532 0.48 0.44969696969696976 0.43833333333333335 0.48 0.44969696969696976 
4 40 0.5099019513592785 0.4666666666666666 0.43636363636363634 0.425 0.4666666666666666 0.43636363636363634 
4 41 0.4982636517614612 0.4533333333333333 0.4230303030303029 0.4116666666666666 0.4533333333333333 0.4230303030303029 
4 42 0.4868949236402723 0.43999999999999995 0.4096969696969696 0.3983333333333333 0.43999999999999995 0.4096969696969696 
4 43 0.4758150901348127 0.4266666666666666 0.3963636363636363 0.38499999999999995 0.4266666666666666 0.3963636363636363 
4 44 0.46504480070920773 0.4133333333333334 0.38303030303030305 0.3716666666666667 0.4133333333333334 0.38303030303030305 
4 45 0.45460605656619524 0.4000000000000001 0.36969696969696975 0.3583333333333334 0.4000000000000001 0.36969696969696975 
4 46 0.44452221541785747 0.3866666666666667 0.3563636363636364 0.34500000000000003 0.3866666666666667 0.3563636363636364 
4 47 0.4348179695765421 0.37333333333333335 0.343030303030303 0.33166666666666667 0.37333333333333335 0.343030303030303 
4 48 0.42551929059287863 0.36000000000000004 0.3296969696969697 0.31833333333333336 0.36000000000000004 0.3296969696969697 
4 49 0.41665333311999325 0.3466666666666667 0.3163636363636364 0.30500000000000005 0.3466666666666667 0.3163636363636364 
4 50 0.4082482904638631 0.3333333333333333 0.30303030303030304 0.2916666666666667 0.3333333333333333 0.30303030303030304 
