classs index l2 l1 IS Specificity wd wds 
2 0 0.9799999999999999 0.98 0.98 0.98 0.98 0.98 
2 1 0.96 0.96 0.96 0.96 0.96 0.96 
2 2 0.94 0.94 0.94 0.94 0.94 0.94 
2 3 0.9199999999999999 0.9199999999999999 0.9199999999999999 0.9199999999999999 0.9199999999999999 0.9199999999999999 
2 4 0.8999999999999999 0.8999999999999999 0.8999999999999999 0.8999999999999999 0.8999999999999999 0.8999999999999999 
2 5 0.88 0.8799999999999999 0.8799999999999999 0.8799999999999999 0.8799999999999999 0.8799999999999999 
2 6 0.86 0.8600000000000001 0.86 0.8600000000000001 0.8600000000000001 0.86 
2 7 0.84 0.8400000000000001 0.8400000000000002 0.8400000000000001 0.8400000000000001 0.8400000000000002 
2 8 0.8200000000000001 0.8200000000000001 0.82 0.8200000000000001 0.8200000000000001 0.82 
2 9 0.8 0.8 0.8000000000000002 0.8 0.8 0.8000000000000002 
2 10 0.78 0.78 0.7799999999999999 0.78 0.78 0.7799999999999999 
2 11 0.7599999999999999 0.76 0.7600000000000001 0.76 0.76 0.7600000000000001 
2 12 0.74 0.74 0.7399999999999999 0.74 0.74 0.7399999999999999 
2 13 0.7199999999999999 0.72 0.7200000000000001 0.72 0.72 0.7200000000000001 
2 14 0.7 0.7 0.6999999999999998 0.7 0.7 0.6999999999999998 
2 15 0.6799999999999999 0.6799999999999999 0.68 0.6799999999999999 0.6799999999999999 0.68 
2 16 0.6599999999999999 0.6599999999999999 0.6599999999999999 0.6599999999999999 0.6599999999999999 0.6599999999999999 
2 17 0.64 0.6399999999999999 0.6399999999999999 0.6399999999999999 0.6399999999999999 0.6399999999999999 
2 18 0.62 0.6200000000000001 0.6200000000000001 0.6200000000000001 0.6200000000000001 0.6200000000000001 
2 19 0.6 0.6000000000000001 0.6000000000000001 0.6000000000000001 0.6000000000000001 0.6000000000000001 
2 20 0.5800000000000001 0.5800000000000001 0.5800000000000001 0.5800000000000001 0.5800000000000001 0.5800000000000001 
2 21 0.56 0.56 0.56 0.56 0.56 0.56 
2 22 0.54 0.54 0.54 0.54 0.54 0.54 
2 23 0.52 0.52 0.52 0.52 0.52 0.52 
2 24 0.5 0.5 0.5 0.5 0.5 0.5 
2 25 0.48 0.48 0.48 0.48 0.48 0.48 
2 26 0.4599999999999999 0.45999999999999996 0.45999999999999996 0.45999999999999996 0.45999999999999996 0.45999999999999996 
2 27 0.4399999999999999 0.43999999999999995 0.43999999999999995 0.43999999999999995 0.43999999999999995 0.43999999999999995 
2 28 0.42 0.42 0.42 0.42 0.42 0.42 
2 29 0.39999999999999997 0.39999999999999997 0.39999999999999997 0.39999999999999997 0.39999999999999997 0.39999999999999997 
2 30 0.37999999999999995 0.37999999999999995 0.37999999999999995 0.37999999999999995 0.37999999999999995 0.37999999999999995 
2 31 0.36000000000000004 0.36000000000000004 0.36000000000000004 0.36000000000000004 0.36000000000000004 0.36000000000000004 
2 32 0.33999999999999997 0.34 0.34 0.34 0.34 0.34 
2 33 0.32 0.32 0.32 0.32 0.32 0.32 
2 34 0.3 0.30000000000000004 0.30000000000000004 0.30000000000000004 0.30000000000000004 0.30000000000000004 
2 35 0.28 0.28 0.28 0.28 0.28 0.28 
2 36 0.26 0.26 0.26 0.26 0.26 0.26 
2 37 0.24 0.24 0.24 0.24 0.24 0.24 
2 38 0.21999999999999995 0.21999999999999997 0.21999999999999997 0.21999999999999997 0.21999999999999997 0.21999999999999997 
2 39 0.19999999999999996 0.19999999999999996 0.19999999999999996 0.19999999999999996 0.19999999999999996 0.19999999999999996 
2 40 0.17999999999999997 0.18 0.18000000000000002 0.18 0.18 0.18000000000000002 
2 41 0.15999999999999995 0.15999999999999998 0.15999999999999998 0.15999999999999998 0.15999999999999998 0.15999999999999998 
2 42 0.13999999999999996 0.13999999999999996 0.13999999999999996 0.13999999999999996 0.13999999999999996 0.13999999999999996 
2 43 0.12000000000000005 0.12000000000000005 0.12000000000000005 0.12000000000000005 0.12000000000000005 0.12000000000000005 
2 44 0.1 0.10000000000000003 0.10000000000000003 0.10000000000000003 0.10000000000000003 0.10000000000000003 
2 45 0.08000000000000002 0.08000000000000002 0.08000000000000002 0.08000000000000002 0.08000000000000002 0.08000000000000002 
2 46 0.060000000000000046 0.06000000000000005 0.06000000000000005 0.06000000000000005 0.06000000000000005 0.06000000000000005 
2 47 0.040000000000000036 0.040000000000000036 0.040000000000000036 0.040000000000000036 0.040000000000000036 0.040000000000000036 
2 48 0.020000000000000018 0.020000000000000018 0.020000000000000018 0.020000000000000018 0.020000000000000018 0.020000000000000018 
2 49 0.0 0.0 0.0 0.0 0.0 0.0 
