Fair_disc for classes 16 index 0 is: l2=0.13134499929344626 l1=0.23544303797468355 IS=0.08607004809536455 Specificity=0.06856540084388185, , wd=0.23544303797468352, wds=0.08607004809536455 
Fair_disc for classes 16 index 1 is: l2=0.16203288871055713 l1=0.2752136752136752 IS=0.07419759727452034 Specificity=0.05064102564102563, , wd=0.2752136752136752, wds=0.07419759727452034 
Fair_disc for classes 16 index 2 is: l2=0.1841226867371146 l1=0.322943722943723 IS=0.11815457270002724 Specificity=0.09415584415584415, , wd=0.322943722943723, wds=0.11815457270002724 
Fair_disc for classes 16 index 3 is: l2=0.177522828366601 l1=0.3145299145299146 IS=0.0894148586456279 Specificity=0.06303418803418805, , wd=0.3145299145299145, wds=0.08941485864562788 
Fair_disc for classes 16 index 4 is: l2=0.11165102314531618 l1=0.19746835443037977 IS=0.04545159481868342 Specificity=0.027637130801687754, , wd=0.19746835443037974, wds=0.04545159481868342 
Fair_disc for classes 16 index 5 is: l2=0.13392221609457122 l1=0.24978902953586501 IS=0.06075949367088609 Specificity=0.03860759493670887, , wd=0.24978902953586501, wds=0.06075949367088609 
Fair_disc for classes 16 index 6 is: l2=0.13171844903916186 l1=0.2173160173160173 IS=0.07404111040474676 Specificity=0.05725108225108223, , wd=0.2173160173160173, wds=0.07404111040474676 
Fair_disc for classes 16 index 7 is: l2=0.14719601443879746 l1=0.26666666666666666 IS=0.08531468531468532 Specificity=0.06406250000000001, , wd=0.26666666666666666, wds=0.08531468531468532 
Fair_disc for classes 16 index 8 is: l2=0.16776218352797 l1=0.28398268398268395 IS=0.10302424847879392 Specificity=0.08181818181818182, , wd=0.28398268398268395, wds=0.10302424847879392 
Fair_disc for classes 16 index 9 is: l2=0.16687750377394428 l1=0.28945147679324895 IS=0.10042194092827005 Specificity=0.07827004219409282, , wd=0.28945147679324895, wds=0.10042194092827005 
Fair_disc for classes 16 index 10 is: l2=0.09707535633846623 l1=0.1675213675213675 IS=0.032681848066463445 Specificity=0.016880341880341876, , wd=0.1675213675213675, wds=0.032681848066463445 
Fair_disc for classes 16 index 11 is: l2=0.15985419611290305 l1=0.29914529914529914 IS=0.07709043093658477 Specificity=0.051068376068376053, , wd=0.29914529914529914, wds=0.07709043093658477 
Fair_disc for classes 16 index 12 is: l2=0.14222607563978185 l1=0.22597402597402594 IS=0.07436805618623799 Specificity=0.056601731601731584, , wd=0.2259740259740259, wds=0.07436805618623797 
Fair_disc for classes 16 index 13 is: l2=0.14597156103971742 l1=0.23116883116883116 IS=0.1006811370447734 Specificity=0.08538961038961038, , wd=0.23116883116883116, wds=0.1006811370447734 
Fair_disc for classes 16 index 14 is: l2=0.15318804363699523 l1=0.26753246753246757 IS=0.07649925831744013 Specificity=0.0541125541125541, , wd=0.26753246753246757, wds=0.07649925831744013 
Fair_disc for classes 16 index 15 is: l2=0.17715098177404862 l1=0.2701298701298701 IS=0.11406775043138678 Specificity=0.09577922077922078, , wd=0.2701298701298701, wds=0.11406775043138678 
Fair_disc for classes 16 index 16 is: l2=0.1275551244631249 l1=0.20086580086580083 IS=0.07338116429025518 Specificity=0.05844155844155842, , wd=0.2008658008658009, wds=0.07338116429025518 
Fair_disc for classes 16 index 17 is: l2=0.13291601358251257 l1=0.2 IS=0.09333333333333332 Specificity=0.08083333333333333, , wd=0.19999999999999998, wds=0.09333333333333332 
Fair_disc for classes 16 index 18 is: l2=0.1390443574307614 l1=0.22666666666666666 IS=0.08205128205128208 Specificity=0.0651041666666667, , wd=0.22666666666666668, wds=0.08205128205128208 
Fair_disc for classes 16 index 19 is: l2=0.15875363778638213 l1=0.26153846153846155 IS=0.09963540732771504 Specificity=0.08066239316239318, , wd=0.26153846153846155, wds=0.09963540732771504 
Fair_disc for classes 16 index 20 is: l2=0.13038404810405296 l1=0.21333333333333332 IS=0.08186480186480186 Specificity=0.06645833333333333, , wd=0.21333333333333335, wds=0.08186480186480187 
Fair_disc for classes 16 index 21 is: l2=0.15434608735384397 l1=0.29122807017543856 IS=0.0807017543859649 Specificity=0.05603070175438596, , wd=0.29122807017543856, wds=0.0807017543859649 
Fair_disc for classes 16 index 22 is: l2=0.16311132250208887 l1=0.30085470085470084 IS=0.09008427469965931 Specificity=0.06538461538461537, , wd=0.30085470085470084, wds=0.09008427469965931 
Fair_disc for classes 16 index 23 is: l2=0.1282051282051282 l1=0.2188034188034188 IS=0.07315761161915008 Specificity=0.05608974358974357, , wd=0.2188034188034188, wds=0.07315761161915008 
Fair_disc for classes 16 index 24 is: l2=0.1121581176227299 l1=0.19145299145299147 IS=0.07258382642998028 Specificity=0.058653846153846154, , wd=0.1914529914529915, wds=0.07258382642998028 
Fair_disc for classes 16 index 25 is: l2=0.15551914160958652 l1=0.26233766233766237 IS=0.10317561226652135 Specificity=0.0845238095238095, , wd=0.26233766233766237, wds=0.10317561226652135 
Fair_disc for classes 16 index 26 is: l2=0.17352742887885772 l1=0.28888888888888886 IS=0.08739465662542584 Specificity=0.06378205128205128, , wd=0.2888888888888888, wds=0.08739465662542584 
Fair_disc for classes 16 index 27 is: l2=0.14245584034188488 l1=0.2717948717948718 IS=0.06360647899109437 Specificity=0.03920940170940171, , wd=0.2717948717948718, wds=0.06360647899109437 
Fair_disc for classes 16 index 28 is: l2=0.14368128949868617 l1=0.21880341880341878 IS=0.08482457713226944 Specificity=0.06912393162393163, , wd=0.2188034188034188, wds=0.08482457713226944 
