Fair_disc for classes 16 index 0 is: l2=0.007948390544861598 l1=0.02759098101265823 IS=0.04807819092827004 Specificity=0.06856540084388185, wd=0.027590981012658226, wds=0.04807819092827004 
Fair_disc for classes 16 index 1 is: l2=0.00980547936740418 l1=0.03225160256410256 IS=0.041446314102564094 Specificity=0.05064102564102563, wd=0.03225160256410256, wds=0.041446314102564094 
Fair_disc for classes 16 index 2 is: l2=0.011142251552997032 l1=0.037844967532467536 IS=0.06600040584415584 Specificity=0.09415584415584415, wd=0.037844967532467536, wds=0.06600040584415584 
Fair_disc for classes 16 index 3 is: l2=0.010742858716179426 l1=0.03685897435897437 IS=0.049946581196581206 Specificity=0.06303418803418805, wd=0.03685897435897436, wds=0.0499465811965812 
Fair_disc for classes 16 index 4 is: l2=0.006756602394200444 l1=0.02314082278481013 IS=0.02538897679324894 Specificity=0.027637130801687754, wd=0.023140822784810125, wds=0.02538897679324894 
Fair_disc for classes 16 index 5 is: l2=0.008104351759710395 l1=0.02927215189873418 IS=0.033939873417721526 Specificity=0.03860759493670887, wd=0.02927215189873418, wds=0.033939873417721526 
Fair_disc for classes 16 index 6 is: l2=0.007970989992452254 l1=0.025466720779220776 IS=0.04135890151515151 Specificity=0.05725108225108223, wd=0.025466720779220776, wds=0.04135890151515151 
Fair_disc for classes 16 index 7 is: l2=0.008907620508587016 l1=0.03125 IS=0.047656250000000004 Specificity=0.06406250000000001, wd=0.03125, wds=0.047656250000000004 
Fair_disc for classes 16 index 8 is: l2=0.010152189733237815 l1=0.033279220779220776 IS=0.057548701298701294 Specificity=0.08181818181818182, wd=0.033279220779220776, wds=0.057548701298701294 
Fair_disc for classes 16 index 9 is: l2=0.010098653015205494 l1=0.03392009493670886 IS=0.05609506856540084 Specificity=0.07827004219409282, wd=0.03392009493670886, wds=0.05609506856540084 
Fair_disc for classes 16 index 10 is: l2=0.0058745506004067236 l1=0.019631410256410256 IS=0.018255876068376066 Specificity=0.016880341880341876, wd=0.019631410256410256, wds=0.018255876068376066 
Fair_disc for classes 16 index 11 is: l2=0.009673634990103874 l1=0.035056089743589744 IS=0.0430622329059829 Specificity=0.051068376068376053, wd=0.035056089743589744, wds=0.0430622329059829 
Fair_disc for classes 16 index 12 is: l2=0.008606862849207992 l1=0.026481331168831165 IS=0.041541531385281376 Specificity=0.056601731601731584, wd=0.02648133116883116, wds=0.04154153138528137 
Fair_disc for classes 16 index 13 is: l2=0.008833522264480078 l1=0.0270900974025974 IS=0.05623985389610389 Specificity=0.08538961038961038, wd=0.0270900974025974, wds=0.05623985389610389 
Fair_disc for classes 16 index 14 is: l2=0.009270230341315275 l1=0.03135146103896104 IS=0.04273200757575757 Specificity=0.0541125541125541, wd=0.03135146103896104, wds=0.04273200757575757 
Fair_disc for classes 16 index 15 is: l2=0.010720356283987249 l1=0.03165584415584415 IS=0.06371753246753246 Specificity=0.09577922077922078, wd=0.03165584415584415, wds=0.06371753246753246 
Fair_disc for classes 16 index 16 is: l2=0.00771904488701714 l1=0.023538961038961036 IS=0.04099025974025973 Specificity=0.05844155844155842, wd=0.02353896103896104, wds=0.04099025974025973 
Fair_disc for classes 16 index 17 is: l2=0.008043461047646094 l1=0.0234375 IS=0.05213541666666666 Specificity=0.08083333333333333, wd=0.023437499999999997, wds=0.05213541666666666 
Fair_disc for classes 16 index 18 is: l2=0.008414320011147664 l1=0.0265625 IS=0.04583333333333335 Specificity=0.0651041666666667, wd=0.026562500000000003, wds=0.04583333333333335 
Fair_disc for classes 16 index 19 is: l2=0.009607034301507852 l1=0.030649038461538464 IS=0.05565571581196582 Specificity=0.08066239316239318, wd=0.030649038461538464, wds=0.05565571581196582 
Fair_disc for classes 16 index 20 is: l2=0.007890238233095374 l1=0.024999999999999998 IS=0.04572916666666666 Specificity=0.06645833333333333, wd=0.025, wds=0.04572916666666667 
Fair_disc for classes 16 index 21 is: l2=0.009340309779276764 l1=0.03412828947368421 IS=0.045079495614035084 Specificity=0.05603070175438596, wd=0.03412828947368421, wds=0.045079495614035084 
Fair_disc for classes 16 index 22 is: l2=0.009870741181694646 l1=0.035256410256410256 IS=0.050320512820512815 Specificity=0.06538461538461537, wd=0.035256410256410256, wds=0.050320512820512815 
Fair_disc for classes 16 index 23 is: l2=0.007758380100575755 l1=0.02564102564102564 IS=0.04086538461538461 Specificity=0.05608974358974357, wd=0.02564102564102564, wds=0.04086538461538461 
Fair_disc for classes 16 index 24 is: l2=0.006787289401481336 l1=0.022435897435897436 IS=0.0405448717948718 Specificity=0.058653846153846154, wd=0.02243589743589744, wds=0.0405448717948718 
Fair_disc for classes 16 index 25 is: l2=0.009411297585475023 l1=0.030742694805194808 IS=0.05763325216450216 Specificity=0.0845238095238095, wd=0.030742694805194808, wds=0.05763325216450216 
Fair_disc for classes 16 index 26 is: l2=0.010501075658718875 l1=0.033854166666666664 IS=0.04881810897435897 Specificity=0.06378205128205128, wd=0.03385416666666666, wds=0.04881810897435897 
Fair_disc for classes 16 index 27 is: l2=0.008620767143970358 l1=0.031850961538461536 IS=0.03553018162393162 Specificity=0.03920940170940171, wd=0.031850961538461536, wds=0.03553018162393162 
Fair_disc for classes 16 index 28 is: l2=0.008694925646719033 l1=0.025641025641025637 IS=0.04738247863247863 Specificity=0.06912393162393163, wd=0.02564102564102564, wds=0.04738247863247863 
Fair_disc for classes 16 index 29 is: l2=0.006741120703068098 l1=0.023125 IS=0.03622916666666666 Specificity=0.049333333333333326, wd=0.023124999999999996, wds=0.03622916666666666 
