Attributes: 4 , Index: 0 FID: 0.577968 
Attributes: 4 , Index: 1 FID: 0.580988 
Attributes: 4 , Index: 2 FID: 0.583815 
Attributes: 4 , Index: 3 FID: 0.573226 
Attributes: 4 , Index: 4 FID: 0.558100 
Attributes: 4 , Index: 5 FID: 0.543949 
Attributes: 4 , Index: 6 FID: 0.543619 
Attributes: 4 , Index: 7 FID: 0.518676 
Attributes: 4 , Index: 8 FID: 0.526015 
Attributes: 4 , Index: 9 FID: 0.518516 
Attributes: 4 , Index: 10 FID: 0.505674 
Attributes: 4 , Index: 11 FID: 0.482241 
Attributes: 4 , Index: 12 FID: 0.483937 
Attributes: 4 , Index: 13 FID: 0.501631 
Attributes: 4 , Index: 14 FID: 0.470222 
Attributes: 4 , Index: 15 FID: 0.459047 
Attributes: 4 , Index: 16 FID: 0.462692 
Attributes: 4 , Index: 17 FID: 0.460253 
Attributes: 4 , Index: 18 FID: 0.439542 
Attributes: 4 , Index: 19 FID: 0.443084 
Attributes: 4 , Index: 20 FID: 0.422441 
Attributes: 4 , Index: 21 FID: 0.440257 
Attributes: 4 , Index: 22 FID: 0.420066 
Attributes: 4 , Index: 23 FID: 0.453545 
Attributes: 4 , Index: 24 FID: 0.450104 
Attributes: 4 , Index: 25 FID: 0.424642 
Attributes: 4 , Index: 26 FID: 0.426366 
Attributes: 4 , Index: 27 FID: 0.419371 
Attributes: 4 , Index: 28 FID: 0.421898 
Attributes: 4 , Index: 29 FID: 0.429612 
Attributes: 4 , Index: 30 FID: 0.408770 
Attributes: 4 , Index: 31 FID: 0.380883 
Attributes: 4 , Index: 32 FID: 0.373751 
Attributes: 4 , Index: 33 FID: 0.357931 
Attributes: 4 , Index: 34 FID: 0.366198 
Attributes: 4 , Index: 35 FID: 0.335866 
Attributes: 4 , Index: 36 FID: 0.320997 
Attributes: 4 , Index: 37 FID: 0.315127 
Attributes: 4 , Index: 38 FID: 0.287737 
Attributes: 4 , Index: 39 FID: 0.309528 
Attributes: 4 , Index: 40 FID: 0.298359 
Attributes: 4 , Index: 41 FID: 0.253391 
Attributes: 4 , Index: 42 FID: 0.255703 
Attributes: 4 , Index: 43 FID: 0.242499 
Attributes: 4 , Index: 44 FID: 0.253807 
Attributes: 4 , Index: 45 FID: 0.236871 
Attributes: 4 , Index: 46 FID: 0.218989 
Attributes: 4 , Index: 47 FID: 0.222597 
Attributes: 4 , Index: 48 FID: 0.231934 
Attributes: 4 , Index: 49 FID: 0.214469 
Attributes: 4 , Index: 50 FID: 0.211936 
Attributes: 4 , Index: 51 FID: 0.192780 
Attributes: 4 , Index: 52 FID: 0.208928 
Attributes: 4 , Index: 53 FID: 0.213971 
Attributes: 4 , Index: 54 FID: 0.195209 
Attributes: 4 , Index: 55 FID: 0.169387 
Attributes: 4 , Index: 56 FID: 0.161477 
Attributes: 4 , Index: 57 FID: 0.152238 
Attributes: 4 , Index: 58 FID: 0.149655 
Attributes: 4 , Index: 59 FID: 0.133096 
Attributes: 4 , Index: 60 FID: 0.135861 
Attributes: 4 , Index: 61 FID: 0.117500 
Attributes: 4 , Index: 62 FID: 0.108960 
Attributes: 4 , Index: 63 FID: 0.114551 
Attributes: 4 , Index: 64 FID: 0.089386 
Attributes: 4 , Index: 65 FID: 0.079368 
Attributes: 4 , Index: 66 FID: 0.099261 
Attributes: 4 , Index: 67 FID: 0.085572 
Attributes: 4 , Index: 68 FID: 0.084451 
Attributes: 4 , Index: 69 FID: 0.070296 
Attributes: 4 , Index: 70 FID: 0.075737 
Attributes: 4 , Index: 71 FID: 0.064598 
Attributes: 4 , Index: 72 FID: 0.068515 
Attributes: 4 , Index: 73 FID: 0.070782 
Attributes: 4 , Index: 74 FID: 0.065123 
Attributes: 4 , Index: 75 FID: 0.062422 
Attributes: 4 , Index: 76 FID: 0.067487 
