classs index l2 l1 IS Specificity wd wds 
8 0 0.9942980294803824 0.9942857142857143 0.9938461538461538 0.99375 0.9942857142857143 0.9938461538461538 
8 1 0.9886209731597994 0.9885714285714285 0.9876923076923078 0.9875 0.9885714285714285 0.9876923076923078 
8 2 0.9829692627079298 0.9828571428571429 0.9815384615384616 0.98125 0.9828571428571429 0.9815384615384616 
8 3 0.9773433378296492 0.9771428571428571 0.9753846153846154 0.975 0.9771428571428571 0.9753846153846154 
8 4 0.9717436463829925 0.9714285714285714 0.9692307692307691 0.96875 0.9714285714285715 0.9692307692307691 
8 5 0.9661706444959473 0.9657142857142856 0.9630769230769232 0.9625 0.9657142857142856 0.9630769230769232 
8 6 0.9606247966818262 0.96 0.9569230769230769 0.9562499999999999 0.9600000000000001 0.9569230769230769 
8 7 0.9551065759529517 0.9542857142857143 0.9507692307692307 0.95 0.9542857142857143 0.9507692307692307 
8 8 0.9496164639323755 0.9485714285714285 0.9446153846153845 0.94375 0.9485714285714286 0.9446153846153847 
8 9 0.9441549509633318 0.9428571428571428 0.9384615384615385 0.9375 0.9428571428571428 0.9384615384615385 
8 10 0.9387225362161068 0.937142857142857 0.9323076923076923 0.9312499999999999 0.9371428571428572 0.9323076923076923 
8 11 0.93331972779199 0.9314285714285714 0.9261538461538461 0.9249999999999999 0.9314285714285714 0.9261538461538461 
8 12 0.9279470428239505 0.9257142857142858 0.92 0.9187500000000001 0.9257142857142858 0.92 
8 13 0.9226050075736637 0.92 0.9138461538461539 0.9125000000000001 0.9199999999999999 0.9138461538461539 
8 14 0.9172941575244942 0.9142857142857144 0.9076923076923077 0.90625 0.9142857142857144 0.9076923076923077 
8 15 0.9120150374700127 0.9085714285714286 0.9015384615384616 0.9 0.9085714285714285 0.9015384615384614 
8 16 0.9067682015976143 0.9028571428571429 0.8953846153846154 0.89375 0.9028571428571429 0.8953846153846154 
8 17 0.9015542135667717 0.8971428571428571 0.8892307692307693 0.8875000000000001 0.8971428571428571 0.8892307692307693 
8 18 0.8963736465814434 0.8914285714285715 0.883076923076923 0.88125 0.8914285714285715 0.883076923076923 
8 19 0.891227083456127 0.8857142857142858 0.876923076923077 0.875 0.8857142857142858 0.876923076923077 
8 20 0.8861151166750288 0.88 0.8707692307692307 0.86875 0.88 0.8707692307692307 
8 21 0.8810383484437958 0.8742857142857143 0.8646153846153846 0.8625 0.8742857142857143 0.8646153846153846 
8 22 0.8759973907332308 0.8685714285714285 0.8584615384615384 0.85625 0.8685714285714285 0.8584615384615384 
8 23 0.8709928653143902 0.8628571428571429 0.8523076923076923 0.85 0.8628571428571429 0.8523076923076923 
8 24 0.8660254037844387 0.8571428571428571 0.8461538461538461 0.84375 0.8571428571428571 0.8461538461538461 
8 25 0.8660254037844387 0.8571428571428571 0.8461538461538461 0.84375 0.8571428571428571 0.8461538461538461 
8 26 0.8602657396741676 0.8514285714285714 0.84014652014652 0.8376785714285714 0.8514285714285714 0.84014652014652 
8 27 0.8545341253739206 0.8457142857142858 0.8341391941391941 0.8316071428571429 0.8457142857142858 0.8341391941391941 
8 28 0.848831129091226 0.84 0.8281318681318682 0.8255357142857143 0.84 0.8281318681318682 
8 29 0.8431573315308868 0.8342857142857143 0.8221245421245421 0.8194642857142856 0.8342857142857143 0.8221245421245421 
8 30 0.8375133261199916 0.8285714285714285 0.8161172161172161 0.8133928571428571 0.8285714285714286 0.8161172161172161 
8 31 0.8318997192313163 0.8228571428571428 0.81010989010989 0.8073214285714285 0.8228571428571428 0.81010989010989 
8 32 0.8263171304045439 0.8171428571428571 0.8041025641025641 0.80125 0.8171428571428573 0.8041025641025641 
8 33 0.8207661925646932 0.8114285714285714 0.7980952380952381 0.7951785714285714 0.8114285714285714 0.7980952380952381 
8 34 0.8152475522370928 0.8057142857142857 0.7920879120879121 0.7891071428571428 0.8057142857142857 0.7920879120879121 
8 35 0.8097618697581936 0.7999999999999999 0.7860805860805861 0.7830357142857143 0.7999999999999999 0.7860805860805861 
8 36 0.8043098194814519 0.7942857142857143 0.7800732600732599 0.7769642857142857 0.7942857142857144 0.7800732600732599 
8 37 0.7988920899774709 0.7885714285714285 0.7740659340659339 0.770892857142857 0.7885714285714285 0.7740659340659339 
8 38 0.7935093842275232 0.7828571428571429 0.7680586080586081 0.7648214285714287 0.7828571428571429 0.7680586080586081 
8 39 0.7881624198095213 0.7771428571428572 0.7620512820512821 0.75875 0.777142857142857 0.762051282051282 
8 40 0.7828519290754434 0.7714285714285715 0.7560439560439561 0.7526785714285715 0.7714285714285715 0.7560439560439561 
8 41 0.777578659319153 0.7657142857142858 0.75003663003663 0.7466071428571429 0.7657142857142858 0.75003663003663 
8 42 0.7723433729334936 0.76 0.744029304029304 0.7405357142857143 0.76 0.744029304029304 
8 43 0.7671468475554637 0.7542857142857143 0.7380219780219781 0.7344642857142858 0.7542857142857142 0.7380219780219781 
8 44 0.7619898761982155 0.7485714285714286 0.732014652014652 0.7283928571428572 0.7485714285714286 0.732014652014652 
8 45 0.7568732673685489 0.7428571428571429 0.726007326007326 0.7223214285714286 0.7428571428571428 0.726007326007326 
8 46 0.7517978451685001 0.7371428571428572 0.7200000000000001 0.71625 0.7371428571428572 0.7200000000000001 
8 47 0.7467644493795502 0.7314285714285714 0.7139926739926741 0.7101785714285714 0.7314285714285714 0.7139926739926741 
8 48 0.741773935527915 0.7257142857142858 0.707985347985348 0.7041071428571428 0.7257142857142858 0.707985347985348 
8 49 0.736827174929295 0.72 0.701978021978022 0.6980357142857143 0.72 0.701978021978022 
